,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min
0,3,77.65906781050217,30.858302050718816,94.17978252554505,63.05889842085132,44.86374515053822,172.79936069067264,94.27753674662587,92.61394459319163,104.99662313534779,159.5797224195399,15.179757808981286,12.787852356948152,15.812808729770026,16.882348268064316,3.3676919952327142,21.41937887535347,16.138929735953685,16.469224828346725,3.640779476038885,5.098577641021682,29.0,1.0,40.0,18.0,19.0,53.0,40.0,35.0,95.0,140.0
1,4,62.72022052196829,42.18503946795948,70.27476365986911,55.71699473556632,45.96432988793655,106.44175249081677,70.27501849077947,70.9004729910312,116.24145539526761,143.0569640315493,16.21300910222622,16.101902211617432,16.326161943247886,16.704827938721532,3.9566507367697064,30.581310767480044,16.326706043432768,18.028307354915,2.3976211512959607,3.719160251612744,18.0,1.0,25.0,9.0,25.0,8.0,25.0,18.0,101.0,123.0
2,3,80.32597713211875,40.98098817557261,93.47214731113253,69.53516821437724,43.86946759569977,145.12119733004673,93.47249508840865,93.43098146408131,109.20579872847746,154.811285067542,14.130830421401571,14.402408029006086,14.241341092748158,15.427420617222715,2.908836878443994,27.623152898295952,14.242941848485883,14.960076088427375,2.982348106769341,4.792830081765383,31.0,2.0,44.0,17.0,19.0,26.0,44.0,38.0,98.0,130.0
3,2,83.14758021011927,39.53641874749633,96.81275670709887,72.97061321283789,42.67012770593985,152.73231959065734,96.83337873276824,96.78699119250963,108.69647540151794,157.17228818493058,15.098861512081509,14.488776567912103,15.03936392723459,16.859053745551975,2.6397576744995996,26.352232930581724,15.10881093521748,15.837295026985414,2.7122335688032257,4.725271121740881,21.0,1.0,25.0,19.0,14.0,26.0,25.0,19.0,98.0,128.0
4,3,94.27515987189653,42.45580693660666,112.13508531650001,78.99577794025271,44.4748375536768,159.36270067655934,112.16481479574499,110.79550814033715,103.67273888105119,161.99644729118825,12.504354693851322,12.847556587766501,12.128793049032906,15.050438927858444,2.8185702902558725,23.273666883315986,12.2661801786524,12.63489782291524,2.7463237500311277,4.797355565254864,41.0,1.0,54.0,28.0,20.0,23.0,54.0,50.0,95.0,138.0
5,1,64.05268939323416,31.028401720488837,74.84559959784774,55.49014789025215,44.28405438505965,152.1552070318085,74.93375038012077,74.00448697659698,112.18873849552854,151.01302030000062,24.82624876889392,22.37336338428941,26.523269324927973,24.564313442478614,7.989816630118696,41.52930779215448,26.701748959100136,27.8289888132975,5.252397809760319,8.412737946267457,5.0,1.0,6.0,4.0,1.0,1.0,6.0,3.0,99.0,98.0
6,2,61.17502673837939,40.44745812269646,70.43177673645576,50.90272616052261,50.55264960027085,112.40059863191831,70.46804090394959,69.88960704200426,113.86322260951194,143.53265160084024,19.043307652808597,16.805504980100412,19.854583934011487,19.37507157701321,5.322483993571361,30.20795003389017,19.999903820066542,21.681770233782366,3.3941339560201924,5.140941305756007,10.0,4.0,13.0,4.0,18.0,19.0,13.0,8.0,101.0,119.0
7,3,89.74965963915142,35.90871169050956,107.47957174013614,75.50142753287952,43.61313198070187,171.73833190139447,107.47957174013614,106.03786927499834,103.88561892802855,163.1452316436455,15.507695778616295,11.583322088578795,16.178014398131825,16.683814339226373,2.252730089048205,20.779992648572648,16.178014398131825,16.684996707270663,1.9749461874301608,4.156639516420197,31.0,1.0,43.0,18.0,33.0,52.0,43.0,38.0,97.0,146.0
8,1,77.34612573374828,40.3942319286188,89.94765238228003,66.71112735383433,44.48287606718459,140.39197040140456,89.98706945271232,89.83524855134166,109.88795032740809,153.25583796125358,16.53418933829375,13.43231020506053,17.868416271827062,17.68410728763327,3.2070708524112583,30.496819355539188,17.99956667643369,18.33476328879755,4.008167276798269,7.047956475263302,13.0,1.0,19.0,7.0,15.0,17.0,19.0,11.0,96.0,132.0
9,3,62.72278966731279,31.811443628537063,74.586114957079,51.2588156177064,47.08422010364334,149.9708453657186,74.58617825072194,73.11605680604454,110.48669646742356,150.06256576605088,21.218507607942126,15.09380731707759,23.038972451176583,21.022445825537556,3.436811536770007,28.77858493652516,23.038909714659997,24.53716035571401,3.576094506228925,6.349712706659661,9.0,1.0,13.0,3.0,24.0,48.0,13.0,8.0,98.0,129.0
10,3,86.5616773470432,40.971852400538005,102.1761409322385,73.25844399502937,44.37944981847421,154.23485782510173,102.1771448064131,101.4055018152579,106.17140907872616,158.56122901488754,13.483884965997694,12.19544791399376,13.884526300628425,14.484211798339409,2.385109239138175,21.55561667700897,13.889112350003407,14.339470447045503,2.1165278982613818,4.011830375724394,36.0,1.0,44.0,27.0,22.0,30.0,44.0,40.0,96.0,140.0
11,2,97.27573207826141,43.07044415599074,112.33278028905029,88.45571977584777,40.54625538230597,158.86673325771298,112.33302295133775,112.43773455003075,107.53432542705741,162.6383428987421,16.787901745512833,14.451000541452093,17.533018491659675,17.606129144756327,1.7978038484609278,23.426106523202325,17.5334913682751,17.772513681570153,2.115818351439986,5.159787768615096,20.0,1.0,28.0,13.0,24.0,12.0,28.0,21.0,96.0,126.0
