,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min,orb_gry1,orb_gry2,orb_gry3,orb_gry4,orb_gry5,orb_gry6,orb_gry7,orb_gry8,orb_gry9,orb_gry10,orb_gry11,orb_gry12,orb_gry13,orb_gry14,orb_gry15,orb_gry16,orb_gry17,orb_gry18,orb_gry19,orb_gry20,orb_b1,orb_b2,orb_b3,orb_b4,orb_b5,orb_b6,orb_b7,orb_b8,orb_b9,orb_b10,orb_b11,orb_b12,orb_b13,orb_b14,orb_b15,orb_b16,orb_b17,orb_b18,orb_b19,orb_b20,orb_g1,orb_g2,orb_g3,orb_g4,orb_g5,orb_g6,orb_g7,orb_g8,orb_g9,orb_g10,orb_g11,orb_g12,orb_g13,orb_g14,orb_g15,orb_g16,orb_g17,orb_g18,orb_g19,orb_g20,orb_r1,orb_r2,orb_r3,orb_r4,orb_r5,orb_r6,orb_r7,orb_r8,orb_r9,orb_r10,orb_r11,orb_r12,orb_r13,orb_r14,orb_r15,orb_r16,orb_r17,orb_r18,orb_r19,orb_r20,orb_l1,orb_l2,orb_l3,orb_l4,orb_l5,orb_l6,orb_l7,orb_l8,orb_l9,orb_l10,orb_l11,orb_l12,orb_l13,orb_l14,orb_l15,orb_l16,orb_l17,orb_l18,orb_l19,orb_l20,orb_a1,orb_a2,orb_a3,orb_a4,orb_a5,orb_a6,orb_a7,orb_a8,orb_a9,orb_a10,orb_a11,orb_a12,orb_a13,orb_a14,orb_a15,orb_a16,orb_a17,orb_a18,orb_a19,orb_a20,orb_bl1,orb_bl2,orb_bl3,orb_bl4,orb_bl5,orb_bl6,orb_bl7,orb_bl8,orb_bl9,orb_bl10,orb_bl11,orb_bl12,orb_bl13,orb_bl14,orb_bl15,orb_bl16,orb_bl17,orb_bl18,orb_bl19,orb_bl20,orb_h1,orb_h2,orb_h3,orb_h4,orb_h5,orb_h6,orb_h7,orb_h8,orb_h9,orb_h10,orb_h11,orb_h12,orb_h13,orb_h14,orb_h15,orb_h16,orb_h17,orb_h18,orb_h19,orb_h20,orb_s1,orb_s2,orb_s3,orb_s4,orb_s5,orb_s6,orb_s7,orb_s8,orb_s9,orb_s10,orb_s11,orb_s12,orb_s13,orb_s14,orb_s15,orb_s16,orb_s17,orb_s18,orb_s19,orb_s20,orb_v1,orb_v2,orb_v3,orb_v4,orb_v5,orb_v6,orb_v7,orb_v8,orb_v9,orb_v10,orb_v11,orb_v12,orb_v13,orb_v14,orb_v15,orb_v16,orb_v17,orb_v18,orb_v19,orb_v20
0,2,80.27869744943679,34.183537622850864,94.3992734700957,70.15320723446489,42.26916776673958,165.8884044285563,94.40231352559715,94.00975130322506,108.22023780846204,158.62686811651457,17.52517157361232,16.104318626655537,17.863840217699412,18.91138196286224,2.7044215509542573,29.590986520020603,17.8700307580036,18.75184336029027,2.8608852112941765,5.078736433753939,18.0,1.0,20.0,18.0,14.0,18.0,20.0,15.0,99.0,119.0,24.0,23.0,11.0,4.0,5.0,8.0,38.0,36.0,22.0,14.0,9.0,19.0,9.0,21.0,12.0,34.0,13.0,10.0,12.0,23.0,10.0,12.0,14.0,40.0,18.0,22.0,19.0,19.0,5.0,13.0,25.0,22.0,31.0,24.0,11.0,23.0,17.0,28.0,20.0,29.0,8.0,17.0,15.0,41.0,8.0,23.0,13.0,17.0,9.0,4.0,49.0,41.0,18.0,4.0,16.0,6.0,27.0,18.0,33.0,9.0,11.0,27.0,22.0,19.0,22.0,24.0,13.0,32.0,30.0,19.0,24.0,22.0,27.0,24.0,26.0,6.0,12.0,27.0,11.0,15.0,24.0,40.0,31.0,31.0,15.0,23.0,12.0,20.0,25.0,12.0,25.0,16.0,8.0,14.0,20.0,36.0,9.0,13.0,19.0,5.0,5.0,1.0,13.0,14.0,33.0,7.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,18.0,0.0,4.0,15.0,0.0,11.0,6.0,2.0,10.0,19.0,4.0,7.0,15.0,6.0,11.0,1.0,13.0,1.0,3.0,3.0,3.0,8.0,3.0,1.0,48.0,18.0,12.0,6.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,8.0,3.0,0.0,0.0,12.0,2.0,7.0,6.0,0.0,3.0,2.0,9.0,26.0,40.0,21.0,12.0,29.0,22.0,5.0,44.0,22.0,23.0,46.0,34.0,12.0,15.0,30.0,10.0,32.0,13.0,54.0,15.0,21.0,15.0,8.0,60.0,26.0,28.0,13.0,13.0,11.0,37.0,6.0,36.0,13.0,15.0,15.0,18.0,15.0,6.0,7.0
1,2,77.39349189126906,39.46614848385921,89.20284309677669,68.7297329735854,42.561307574870135,143.78394960968632,89.22562339769749,89.60025252767723,110.961266287075,153.84179093012762,14.039459386193842,13.502240847613967,14.448415571046171,15.027351163242896,2.9067085945390385,26.62252013354829,14.463175499452545,15.083539352974784,2.7050861585288173,4.872678903256103,27.0,1.0,35.0,20.0,2.0,12.0,35.0,29.0,100.0,122.0,25.0,13.0,5.0,1.0,8.0,6.0,38.0,35.0,31.0,10.0,9.0,35.0,3.0,9.0,16.0,20.0,1.0,3.0,5.0,40.0,15.0,2.0,28.0,72.0,17.0,12.0,35.0,13.0,15.0,4.0,7.0,19.0,31.0,54.0,7.0,20.0,6.0,16.0,11.0,3.0,4.0,5.0,8.0,16.0,27.0,19.0,10.0,5.0,12.0,2.0,74.0,5.0,13.0,12.0,8.0,9.0,28.0,12.0,37.0,18.0,3.0,37.0,18.0,25.0,19.0,13.0,5.0,37.0,5.0,43.0,31.0,4.0,30.0,40.0,20.0,9.0,15.0,10.0,6.0,33.0,34.0,7.0,70.0,11.0,10.0,11.0,8.0,3.0,11.0,27.0,12.0,16.0,8.0,2.0,7.0,45.0,8.0,14.0,21.0,6.0,1.0,5.0,4.0,4.0,5.0,1.0,5.0,6.0,0.0,0.0,15.0,7.0,0.0,2.0,26.0,5.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,13.0,2.0,6.0,5.0,4.0,13.0,9.0,22.0,16.0,11.0,4.0,4.0,1.0,5.0,1.0,12.0,13.0,2.0,2.0,13.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,11.0,2.0,3.0,0.0,4.0,3.0,2.0,4.0,1.0,21.0,32.0,43.0,15.0,31.0,24.0,22.0,15.0,18.0,31.0,29.0,28.0,19.0,27.0,24.0,20.0,11.0,23.0,28.0,39.0,3.0,14.0,5.0,15.0,16.0,12.0,26.0,14.0,9.0,3.0,69.0,13.0,41.0,2.0,6.0,9.0,22.0,9.0,15.0,18.0
2,2,82.03965592817984,39.30445055539425,95.34982153124486,72.22846277773667,42.61231007451853,151.60399861096087,95.34982153124486,95.41835125611263,109.14702751322149,156.65831345603178,14.897561292286339,13.940401144956665,14.893155407645574,16.792121558772564,2.9049294225142313,26.009562922034373,14.893155407645574,15.622539408059664,2.5807565438377504,4.7581027998949015,29.0,1.0,33.0,16.0,31.0,21.0,33.0,30.0,99.0,127.0,17.0,7.0,45.0,28.0,18.0,12.0,12.0,19.0,17.0,9.0,27.0,25.0,11.0,21.0,5.0,15.0,14.0,6.0,17.0,21.0,15.0,6.0,4.0,15.0,31.0,14.0,26.0,55.0,15.0,27.0,17.0,21.0,10.0,23.0,11.0,10.0,19.0,29.0,20.0,19.0,11.0,18.0,17.0,41.0,13.0,39.0,9.0,26.0,19.0,9.0,29.0,55.0,16.0,16.0,23.0,3.0,22.0,7.0,16.0,21.0,13.0,23.0,47.0,21.0,13.0,25.0,19.0,39.0,13.0,23.0,21.0,9.0,18.0,11.0,20.0,19.0,12.0,43.0,18.0,11.0,14.0,57.0,30.0,17.0,30.0,24.0,11.0,23.0,28.0,13.0,19.0,14.0,8.0,5.0,25.0,28.0,9.0,26.0,17.0,17.0,13.0,23.0,14.0,9.0,14.0,5.0,18.0,16.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,7.0,18.0,14.0,11.0,14.0,7.0,12.0,23.0,18.0,15.0,23.0,10.0,24.0,1.0,15.0,0.0,0.0,2.0,20.0,9.0,16.0,0.0,23.0,13.0,1.0,3.0,0.0,1.0,9.0,5.0,0.0,0.0,8.0,2.0,4.0,0.0,4.0,0.0,0.0,11.0,0.0,1.0,1.0,6.0,14.0,31.0,21.0,38.0,35.0,50.0,23.0,21.0,22.0,19.0,11.0,18.0,20.0,37.0,13.0,26.0,17.0,26.0,7.0,44.0,21.0,11.0,16.0,22.0,39.0,39.0,15.0,4.0,23.0,15.0,24.0,9.0,18.0,50.0,23.0,11.0,16.0,27.0,15.0,12.0
3,2,67.43801416476342,38.15018017560777,77.34618312685998,59.17851754446674,44.34517267630979,129.95413292730754,77.3479687175583,77.29910720465084,113.21042748056381,148.6163010127575,20.001862441404306,14.191777708997488,22.07237123568119,19.42389772868825,2.9292708024389307,25.243179471623147,22.073615005299047,23.035256476451664,3.812234315571589,6.519990327909437,11.0,1.0,13.0,7.0,19.0,16.0,13.0,8.0,96.0,130.0,14.0,11.0,12.0,12.0,19.0,17.0,38.0,21.0,16.0,12.0,28.0,38.0,11.0,13.0,24.0,5.0,2.0,14.0,13.0,19.0,4.0,6.0,24.0,34.0,20.0,9.0,42.0,6.0,36.0,8.0,5.0,43.0,20.0,29.0,9.0,17.0,31.0,34.0,19.0,9.0,14.0,11.0,19.0,25.0,13.0,16.0,10.0,13.0,8.0,4.0,56.0,15.0,26.0,7.0,14.0,19.0,8.0,19.0,15.0,54.0,9.0,31.0,17.0,14.0,47.0,15.0,8.0,29.0,33.0,16.0,11.0,12.0,38.0,34.0,14.0,13.0,14.0,7.0,3.0,20.0,37.0,13.0,50.0,20.0,21.0,7.0,8.0,12.0,13.0,16.0,17.0,17.0,19.0,15.0,9.0,13.0,44.0,19.0,22.0,16.0,11.0,14.0,0.0,5.0,8.0,7.0,8.0,14.0,2.0,2.0,19.0,11.0,3.0,2.0,19.0,5.0,0.0,0.0,1.0,14.0,6.0,14.0,6.0,22.0,21.0,9.0,2.0,1.0,11.0,8.0,23.0,17.0,12.0,5.0,9.0,4.0,13.0,0.0,7.0,5.0,0.0,0.0,15.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,14.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,5.0,29.0,25.0,15.0,12.0,43.0,22.0,24.0,26.0,42.0,30.0,35.0,24.0,7.0,15.0,24.0,24.0,18.0,15.0,40.0,30.0,12.0,15.0,18.0,6.0,24.0,12.0,7.0,20.0,17.0,15.0,46.0,20.0,19.0,9.0,23.0,18.0,19.0,15.0,11.0,42.0
4,2,71.64858498551371,34.464180331833795,84.53800055139857,60.542373045316246,44.646060160486,151.04188210711644,84.53973213637923,83.9594141632043,109.44489641929508,153.6884888293421,14.618894439390518,12.88671740177853,16.27460998144548,14.870290437334681,3.1934990597775785,31.3459314713566,16.276194605282033,16.588583942923385,4.3106306695621015,6.689470034513231,22.0,1.0,25.0,18.0,15.0,9.0,25.0,20.0,96.0,129.0,26.0,12.0,8.0,6.0,12.0,18.0,61.0,66.0,29.0,5.0,31.0,13.0,10.0,7.0,7.0,19.0,8.0,9.0,7.0,37.0,2.0,9.0,25.0,51.0,20.0,21.0,13.0,7.0,15.0,10.0,8.0,28.0,64.0,32.0,3.0,45.0,16.0,16.0,14.0,7.0,16.0,20.0,12.0,19.0,21.0,35.0,18.0,3.0,11.0,8.0,57.0,7.0,17.0,7.0,17.0,14.0,42.0,7.0,32.0,30.0,16.0,40.0,8.0,16.0,15.0,11.0,2.0,48.0,13.0,22.0,35.0,21.0,12.0,73.0,20.0,10.0,24.0,8.0,5.0,17.0,57.0,15.0,48.0,10.0,14.0,16.0,5.0,18.0,14.0,19.0,21.0,22.0,5.0,13.0,8.0,44.0,20.0,16.0,41.0,2.0,12.0,0.0,12.0,16.0,10.0,7.0,4.0,7.0,5.0,1.0,18.0,0.0,0.0,2.0,5.0,2.0,1.0,9.0,10.0,14.0,12.0,11.0,9.0,6.0,19.0,12.0,3.0,3.0,7.0,5.0,15.0,8.0,17.0,1.0,15.0,9.0,13.0,0.0,8.0,18.0,1.0,2.0,0.0,11.0,1.0,4.0,1.0,3.0,1.0,9.0,0.0,9.0,3.0,1.0,1.0,9.0,0.0,1.0,0.0,6.0,22.0,32.0,25.0,28.0,33.0,17.0,26.0,25.0,49.0,17.0,17.0,18.0,23.0,18.0,16.0,26.0,29.0,15.0,22.0,42.0,18.0,29.0,7.0,10.0,14.0,26.0,19.0,11.0,12.0,3.0,50.0,16.0,43.0,6.0,14.0,20.0,31.0,16.0,18.0,29.0
5,3,88.50282752457552,42.65667202859696,102.99728328865056,77.556418230563,43.110384271671144,150.24344593386954,102.99806970509384,102.84125111706881,107.75743342269884,158.3359285075961,15.529338748906698,13.074855459865198,16.054191286274687,17.220014442857316,2.9369735315895404,25.015267713853888,16.056971732702607,16.584873537317847,2.2733344999571123,5.8740217469565215,42.0,2.0,55.0,29.0,19.0,41.0,55.0,52.0,99.0,137.0,4.0,9.0,16.0,11.0,10.0,7.0,14.0,11.0,6.0,12.0,17.0,7.0,15.0,8.0,13.0,6.0,6.0,14.0,11.0,17.0,2.0,5.0,14.0,16.0,6.0,7.0,17.0,7.0,17.0,19.0,9.0,22.0,9.0,12.0,11.0,14.0,24.0,12.0,8.0,6.0,8.0,28.0,24.0,22.0,11.0,12.0,2.0,7.0,7.0,1.0,24.0,16.0,13.0,6.0,14.0,7.0,16.0,14.0,17.0,13.0,15.0,19.0,6.0,13.0,12.0,20.0,1.0,35.0,14.0,12.0,7.0,14.0,13.0,8.0,12.0,12.0,20.0,20.0,8.0,30.0,13.0,16.0,27.0,34.0,18.0,11.0,6.0,25.0,19.0,11.0,15.0,12.0,12.0,5.0,3.0,20.0,9.0,7.0,12.0,3.0,15.0,8.0,4.0,12.0,6.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,12.0,1.0,3.0,5.0,11.0,6.0,4.0,5.0,14.0,3.0,0.0,9.0,0.0,18.0,0.0,0.0,1.0,8.0,10.0,17.0,0.0,7.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,49.0,16.0,22.0,7.0,31.0,27.0,23.0,31.0,20.0,17.0,20.0,15.0,11.0,24.0,22.0,20.0,20.0,20.0,29.0,52.0,21.0,9.0,5.0,6.0,30.0,15.0,12.0,12.0,21.0,9.0,24.0,6.0,17.0,10.0,11.0,16.0,10.0,8.0,11.0,9.0
6,2,78.04734539280349,41.50055006053177,89.80555988124719,68.90691669722558,43.143312117908856,138.21128352480798,89.84837920520019,90.16571640988803,110.99906062721969,152.95748710246195,15.834865720454196,14.092419653368376,16.74371861678828,16.808213408593907,3.4657967229594098,27.70564088563785,16.905105771811506,17.408882733351117,3.76853736142184,5.815866936365706,25.0,2.0,30.0,23.0,15.0,25.0,30.0,25.0,96.0,134.0,23.0,13.0,6.0,6.0,9.0,14.0,16.0,20.0,7.0,10.0,13.0,23.0,9.0,15.0,11.0,19.0,7.0,9.0,7.0,21.0,8.0,7.0,38.0,42.0,9.0,29.0,32.0,17.0,9.0,8.0,8.0,20.0,22.0,21.0,9.0,24.0,12.0,10.0,9.0,12.0,29.0,14.0,1.0,6.0,12.0,12.0,9.0,21.0,18.0,5.0,19.0,13.0,7.0,17.0,16.0,10.0,19.0,14.0,24.0,16.0,10.0,17.0,19.0,18.0,25.0,3.0,19.0,28.0,5.0,15.0,26.0,8.0,34.0,18.0,13.0,8.0,34.0,5.0,17.0,12.0,13.0,13.0,23.0,12.0,4.0,28.0,5.0,10.0,13.0,10.0,5.0,38.0,13.0,9.0,13.0,32.0,18.0,18.0,11.0,14.0,6.0,0.0,3.0,3.0,8.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,4.0,2.0,3.0,4.0,1.0,9.0,2.0,3.0,12.0,11.0,6.0,3.0,8.0,8.0,0.0,11.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,19.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,31.0,22.0,36.0,4.0,47.0,7.0,32.0,31.0,37.0,19.0,42.0,17.0,10.0,11.0,27.0,20.0,8.0,29.0,36.0,34.0,9.0,10.0,4.0,17.0,9.0,24.0,16.0,10.0,4.0,18.0,20.0,15.0,27.0,9.0,23.0,9.0,7.0,7.0,30.0,16.0
7,3,63.14425202227852,41.08312452990389,71.52641074980042,55.10945452699679,46.56929274471531,109.14769900927963,71.52768433535906,72.00187346281453,115.12719243600924,144.13236983817157,11.223314028817846,11.123926543370944,11.934119636706193,11.42954597823151,3.1673408852210314,28.29938948991062,11.940246436832464,12.722262430344644,3.0443985160372486,4.735607809409387,25.0,4.0,34.0,14.0,21.0,24.0,34.0,28.0,100.0,123.0,35.0,16.0,1.0,1.0,3.0,13.0,13.0,29.0,16.0,4.0,13.0,20.0,5.0,9.0,21.0,19.0,10.0,6.0,9.0,13.0,16.0,41.0,15.0,7.0,12.0,17.0,10.0,7.0,14.0,29.0,11.0,11.0,6.0,4.0,22.0,12.0,6.0,6.0,22.0,21.0,8.0,23.0,29.0,30.0,7.0,11.0,10.0,12.0,7.0,5.0,19.0,32.0,69.0,13.0,6.0,1.0,13.0,4.0,12.0,2.0,20.0,6.0,29.0,5.0,4.0,16.0,28.0,12.0,75.0,13.0,2.0,18.0,12.0,6.0,4.0,23.0,7.0,21.0,3.0,3.0,5.0,26.0,16.0,36.0,27.0,10.0,14.0,23.0,9.0,6.0,45.0,10.0,2.0,1.0,14.0,13.0,4.0,6.0,11.0,39.0,6.0,10.0,19.0,28.0,31.0,1.0,11.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,16.0,18.0,18.0,3.0,8.0,3.0,31.0,11.0,4.0,8.0,8.0,38.0,0.0,23.0,0.0,1.0,1.0,21.0,4.0,13.0,0.0,22.0,15.0,2.0,6.0,0.0,13.0,9.0,5.0,0.0,2.0,12.0,5.0,0.0,0.0,2.0,1.0,4.0,14.0,1.0,0.0,9.0,2.0,32.0,18.0,18.0,36.0,66.0,17.0,19.0,37.0,18.0,5.0,29.0,10.0,16.0,14.0,17.0,27.0,17.0,12.0,57.0,27.0,20.0,8.0,60.0,13.0,40.0,12.0,9.0,4.0,31.0,23.0,16.0,2.0,17.0,23.0,4.0,17.0,8.0,1.0,5.0,1.0
8,3,68.47956157395431,26.566830506741105,83.86531393061462,54.22383309972268,45.74670187871096,176.30026890291222,83.87075816183506,82.05593421203025,106.10723631572931,157.05041177638347,13.90160441823906,10.663911639011056,14.717262509447306,14.520142809716852,2.462943877097916,20.577296994848467,14.738298633680424,15.49476973964988,2.243300496742042,3.935655287477274,22.0,1.0,31.0,11.0,19.0,37.0,31.0,25.0,97.0,133.0,10.0,12.0,9.0,30.0,7.0,7.0,4.0,17.0,8.0,10.0,52.0,9.0,12.0,10.0,12.0,10.0,6.0,4.0,16.0,11.0,19.0,36.0,8.0,7.0,6.0,8.0,6.0,25.0,15.0,11.0,17.0,5.0,13.0,8.0,12.0,13.0,17.0,18.0,8.0,23.0,10.0,14.0,15.0,36.0,8.0,25.0,25.0,13.0,12.0,17.0,10.0,37.0,26.0,4.0,7.0,6.0,11.0,9.0,11.0,5.0,21.0,12.0,42.0,15.0,8.0,16.0,16.0,9.0,30.0,9.0,10.0,24.0,7.0,5.0,14.0,14.0,7.0,22.0,10.0,9.0,12.0,28.0,10.0,27.0,22.0,7.0,23.0,26.0,17.0,8.0,36.0,3.0,3.0,21.0,22.0,12.0,6.0,11.0,13.0,9.0,21.0,10.0,12.0,20.0,20.0,5.0,4.0,7.0,7.0,12.0,4.0,6.0,0.0,8.0,11.0,4.0,3.0,5.0,7.0,15.0,6.0,1.0,9.0,8.0,17.0,9.0,9.0,9.0,20.0,0.0,23.0,3.0,6.0,16.0,6.0,20.0,9.0,1.0,30.0,29.0,0.0,5.0,8.0,3.0,8.0,3.0,0.0,8.0,5.0,7.0,11.0,6.0,3.0,0.0,1.0,5.0,0.0,0.0,4.0,6.0,14.0,21.0,55.0,11.0,17.0,18.0,14.0,9.0,37.0,23.0,15.0,21.0,43.0,37.0,15.0,27.0,23.0,20.0,23.0,19.0,26.0,16.0,15.0,5.0,31.0,20.0,7.0,19.0,19.0,23.0,7.0,6.0,9.0,23.0,8.0,25.0,14.0,12.0,5.0,13.0
9,2,61.95287902869466,35.905699700571155,72.27115167742744,51.63720479321511,47.837948704420604,129.50530564330512,72.28756652663373,71.6622722266555,112.45560604361904,147.03726150984957,15.746203648898144,13.876637356360707,16.635317409046472,16.547969843037965,4.26187384071273,34.412243671926014,16.697891328477198,17.626589893281924,3.664734755343825,6.146128654016397,23.0,1.0,30.0,12.0,15.0,23.0,30.0,24.0,99.0,130.0,22.0,31.0,11.0,7.0,8.0,18.0,27.0,27.0,30.0,5.0,16.0,14.0,19.0,35.0,27.0,39.0,24.0,19.0,18.0,29.0,46.0,56.0,7.0,21.0,8.0,11.0,16.0,21.0,15.0,7.0,2.0,18.0,8.0,7.0,3.0,16.0,10.0,13.0,6.0,22.0,9.0,18.0,7.0,7.0,32.0,35.0,19.0,20.0,36.0,5.0,28.0,14.0,64.0,45.0,24.0,8.0,37.0,12.0,23.0,9.0,13.0,23.0,29.0,23.0,13.0,9.0,72.0,26.0,44.0,15.0,19.0,9.0,9.0,25.0,31.0,3.0,30.0,3.0,13.0,20.0,20.0,5.0,36.0,21.0,7.0,33.0,25.0,13.0,34.0,21.0,26.0,23.0,10.0,5.0,24.0,28.0,8.0,17.0,21.0,82.0,7.0,19.0,23.0,23.0,14.0,10.0,5.0,4.0,12.0,3.0,10.0,4.0,3.0,4.0,32.0,3.0,10.0,18.0,18.0,5.0,9.0,4.0,11.0,21.0,20.0,15.0,29.0,15.0,28.0,7.0,21.0,8.0,2.0,4.0,12.0,8.0,9.0,8.0,20.0,14.0,3.0,1.0,0.0,6.0,1.0,10.0,2.0,6.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,51.0,13.0,14.0,20.0,37.0,16.0,31.0,43.0,23.0,11.0,18.0,8.0,26.0,23.0,26.0,29.0,10.0,21.0,46.0,34.0,15.0,14.0,64.0,28.0,11.0,44.0,48.0,12.0,7.0,58.0,26.0,10.0,20.0,11.0,18.0,7.0,18.0,10.0,14.0,17.0
